date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:24	43284/43284	---M-Z	200	added ('OK')	text/html	etag:%221ce59fe-a914-57cf8452f1380-gzip%22	http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/ltr/index-style-2.html	(from )
17:04:24	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	http://themes.pixelstrap.com/robots.txt		(from )
17:04:25	833/833	---M--	200	added ('OK')	image/png	etag:%221ce592a-341-57edc62614500%22	http://themes.pixelstrap.com/tovo/main/assets/images/favicon.png	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/images/favicon.png	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
17:04:25	31000/31000	---M--	200	added ('OK')	text/css	etag:%221ce590a-7918-5703574e07d00%22	http://themes.pixelstrap.com/tovo/main/assets/css/font-awesome.min.css	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/css/font-awesome.min.css	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
17:04:30	173442/173442	---M--	200	added ('OK')	text/css	etag:%221ce5909-2a582-570c4eafe7980%22	http://themes.pixelstrap.com/tovo/main/assets/css/bootstrap.css	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/css/bootstrap.css	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
17:04:30	16952/16952	---M--	200	added ('OK')	text/css	etag:%221ce5908-4238-56fd2400d9300%22	http://themes.pixelstrap.com/tovo/main/assets/css/animate.min.css	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/css/animate.min.css	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
17:04:30	3351/3351	---M--	200	added ('OK')	text/css	etag:%221ce590c-d17-56a38e8342e80%22	http://themes.pixelstrap.com/tovo/main/assets/css/owl.carousel.min.css	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/css/owl.carousel.min.css	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
17:04:31	1013/1013	---M--	200	added ('OK')	text/css	etag:%221ce590d-3f5-56a38e8342e80%22	http://themes.pixelstrap.com/tovo/main/assets/css/owl.theme.default.min.css	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/css/owl.theme.default.min.css	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
17:04:31	334/334	---M--	200	added ('OK')	text/css	etag:%221ce5911-14e-57cf7f3498000%22	http://themes.pixelstrap.com/tovo/main/assets/css/validation.css	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/css/validation.css	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
17:04:33	50620/50620	---M--	200	added ('OK')	text/css	etag:%221ce5910-c5bc-59528a196d5d1%22	http://themes.pixelstrap.com/tovo/main/assets/css/style.css	C:/Meus%20Sites/renoauto/themes.pixelstrap.com/tovo/main/assets/css/style.css	(from http://themes.pixelstrap.com/tovo/main/ltr/index-style-2.html)
